 GL552VWR20ENG        FABMASTER (R)          licence #5053 NATSTEEL, 

 Test Fixture Nails    2107/2362 Selected Drills           29-Jun-2015 18:02
                       2107 Nails, 2371 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1         9.568     2.303   1  1A   (T)  #97   GND              V VIA .
$1         5.748     9.020   1  2B   (T)  #97   GND              V VIA .
$1         1.697     2.533   1  3A   (T)  #97   GND              V VIA .
$1        10.290     9.595   1  1C   (T)  #97   GND              V VIA .
$1         2.655     5.738   1  3B   (T)  #97   GND              V VIA .
$2         9.651     3.028   1  1A   (T)  #477  +5V              V VIA .
$3         7.698     3.877   1  1A   (B)  #438  +3V              V VIA .
$4         2.709     5.636   1  3A   (T)  #368  +12V             V VIA .
$5         9.643     2.864   1  1A   (T)  #447  CPAD_INT#        V VIA .
$6         9.675     2.774   1  1A   (T)  #2218 CPAD_INT#_C      V VIA .
$7         9.581     2.654   1  1A   (T)  #1371 I2C1_SCL_C       V VIA .
$8         9.659     2.538   1  1A   (T)  #1372 I2C1_SDA_C       V VIA .
$9         9.573     2.484   2  1A   (T)  #86   TP_DAT_C         V VIA .
$10        9.504     2.503   2  1A   (T)  #88   TP_CLK_C         V VIA .
$11        9.427     2.513   2  1A   (T)  #1358 +3V_TPCON        V VIA .
$12        8.649     2.858   2  1A   (T)  #85   TP_DAT           V VIA .
$13        8.637     2.926   2  1A   (T)  #87   TP_CLK           V VIA .
$14        8.570     2.907   2  1A   (T)  #58   SUSWARN#         V VIA .
$15        8.542     2.971   2  1A   (T)  #70   N45959754        V VIA .
$16        8.404     2.994   1  1A   (T)  #821  PM_SLP_SUS#      V VIA .
$17        8.588     3.025   2  1A   (T)  #551  A/D_MAX_POWER    V VIA .
$18        8.700     3.036   1  1A   (T)  #1872 PCH_SUS_STAT#    V VIA .
$19        8.662     3.113   2  1A   (T)  #823  EC_AGND          V VIA .
$20        8.591     3.136   2  1A   (T)  #549  +3VACC           V VIA .
$21        8.689     3.180   2  1A   (T)  #881  EC_GPJ0          V VIA .
$22        8.735     3.295   2  1A   (T)  #831  IBAT_REF_EC      V PIN T3013.1
$23        8.665     3.295   2  1A   (T)  #832  EC_GPJ5          V PIN T3004.1
$24        8.472     3.161   1  1A   (T)  #550  MB_MAX_POWER     V VIA .
$25        8.455     3.283   2  1A   (T)  #829  PL_REF_EC        V PIN T3012.1
$26        8.460     3.366   2  1A   (T)  #80   EC_GPE1          V VIA .
$27        8.463     3.570   2  1A   (T)  #828  P_SMB3_DAT       V PIN T3011.1
$28        8.530     3.555   2  1A   (T)  #826  P_SMB3_CLK       V PIN T3010.1
$29        8.667     3.546   2  1A   (T)  #1312 P_TEMPSENS_SCL_5 V VIA .
$30        8.737     3.514   2  1A   (T)  #1738 SMB1_DAT_S       V VIA .
$31        8.970     3.465   3  1A   (T)  #2279 ACZ_SDOUT_AUD    V VIA .
$32        9.022     3.454   3  1A   (T)  #192  ACZ_SDIN0_AUD    V VIA .
$33        9.042     3.503   3  1A   (T)  #1620 N36832618        V VIA .
$34        9.147     3.430   3  1A   (T)  #1439 FLY_N            V VIA .
$35        9.146     3.379   3  1A   (T)  #1438 FLY_P            V VIA .
$36        9.318     3.438   1  1A   (T)  #1646 AVEE             V VIA .
$37        9.404     3.401   1  1A   (T)  #2284 AVDD_3V3         V VIA .
$38        9.584     3.389   3  1A   (T)  #1691 AVDD_HP          V VIA .
$39        9.634     3.396   3  1A   (T)  #2269 MICBIASB         V VIA .
$40        9.629     3.475   3  1A   (T)  #1445 MIC_L            V VIA .
$41        9.675     3.557   3  1A   (T)  #1444 MIC_IN_AC_E      V VIA .
$42        9.732     3.593   3  1A   (T)  #1462 SENSE_PORT_B     V VIA .
$43        9.777     3.632   3  1A   (T)  #2267 SENSE_PORT_A     V VIA .
$44        9.703     3.648   3  1A   (T)  #1443 MIC_R            V VIA .
$45        9.658     3.694   3  1A   (T)  #236  MIC_IN_AC_I      V VIA .
$46        9.811     3.745   1  1A   (T)  #266  JSENSE           V VIA .
$47       10.047     3.912   1  1A   (T)  #1359 SATA_DEVSLP0     V VIA .
$48        9.809     3.910   1  1A   (T)  #434  SATA0_HDD_DEVSLP V VIA .
$49        9.650     3.906   1  1A   (T)  #1457 DMIC_DATA        V VIA .
$50        9.532     3.845   2  1A   (T)  #2286 DMIC_DATA_A      V VIA .
$51        9.456     3.833   2  1A   (T)  #1436 DVDD_3.3         V VIA .
$52        9.495     3.770   2  1A   (T)  #195  DMIC_CLK_A       V VIA .
$53        9.564     3.692   2  1A   (T)  #1625 MIC2_INT_R       V VIA .
$54        9.505     3.649   3  1A   (T)  #237  MICBIASC         V VIA .
$55        9.513     3.599   3  1A   (T)  #1626 PORTB_MIC_R      V VIA .
$56        9.500     3.547   3  1A   (T)  #1627 PORTB_MIC_L      V VIA .
$57        9.441     3.516   3  1A   (T)  #1437 VREF_1.65V       V VIA .
$58        9.202     3.832   2  1A   (T)  #2285 N36832610        V VIA .
$59        9.329     3.838   3  1A   (T)  #193  SDATA_IN         V VIA .
$60        9.372     3.871   3  1A   (T)  #260  BIT_CLK          V VIA .
$61        9.217     3.910   2  1A   (T)  #2291 VDD_IO           V VIA .
$62        9.130     3.893   1  1A   (T)  #2288 PCBEEP           V PIN T3601.1
$63        9.009     3.969   1  1A   (T)  #2290 ACZ_SYNC_AUD     V VIA .
$64        9.205     3.987   2  1A   (T)  #259  ACZ_BCLK_AUD     V VIA .
$65        9.440     4.024   1  1A   (T)  #2287 FILT_1.8V        V VIA .
$66        9.607     4.400   3  1A   (T)  #948  M_B_DQ5          V VIA .
$67        9.551     4.400   3  1A   (T)  #914  M_B_DQ1          V VIA .
$68        9.490     4.399   3  1A   (T)  #915  M_B_DQ4          V VIA .
$69        9.436     4.397   3  1A   (T)  #959  M_B_DQ0          V VIA .
$70        9.436     4.462   3  1A   (T)  #978  M_B_DQS#0        V VIA .
$71        9.440     4.515   3  1A   (T)  #975  M_B_DQ7          V VIA .
$72        9.495     4.515   3  1A   (T)  #937  M_B_DQ6          V VIA .
$73        9.486     4.462   3  1A   (T)  #979  M_B_DQS0         V VIA .
$74        9.548     4.515   3  1A   (T)  #926  M_B_DQ3          V VIA .
$75        9.602     4.515   3  1A   (T)  #970  M_B_DQ2          V VIA .
$76        9.604     4.610   3  1A   (T)  #918  M_B_DQ14         V VIA .
$77        9.545     4.610   3  1A   (T)  #976  M_B_DQ10         V VIA .
$78        9.492     4.610   3  1A   (T)  #977  M_B_DQ9          V VIA .
$79        9.436     4.610   3  1A   (T)  #919  M_B_DQ8          V VIA .
$80        9.545     4.711   3  1A   (T)  #980  M_B_DQS#1        V VIA .
$81        9.595     4.713   3  1A   (T)  #981  M_B_DQS1         V VIA .
$82        9.606     4.764   3  1A   (T)  #917  M_B_DQ15         V VIA .
$83        9.550     4.761   3  1A   (T)  #920  M_B_DQ11         V VIA .
$84        9.500     4.761   3  1A   (T)  #921  M_B_DQ13         V VIA .
$85        9.445     4.762   3  1A   (T)  #916  M_B_DQ12         V VIA .
$86        9.436     4.883   3  1A   (T)  #923  M_B_DQ22         V VIA .
$87        9.495     4.885   3  1A   (T)  #928  M_B_DQ18         V VIA .
$88        9.553     4.885   3  1A   (T)  #927  M_B_DQ17         V VIA .
$89        9.607     4.885   3  1A   (T)  #922  M_B_DQ16         V VIA .
$90        9.601     5.016   3  1A   (T)  #924  M_B_DQ23         V VIA .
$91        9.546     5.015   3  1A   (T)  #929  M_B_DQ19         V VIA .
$92        9.525     4.945   2  1A   (T)  #982  M_B_DQS#2        V VIA .
$93        9.496     5.016   3  1A   (T)  #930  M_B_DQ21         V VIA .
$94        9.437     5.090   3  1A   (T)  #932  M_B_DQ30         V VIA .
$95        9.495     5.090   3  1A   (T)  #936  M_B_DQ27         V VIA .
$96        9.550     5.090   3  1A   (T)  #935  M_B_DQ28         V VIA .
$97        9.604     5.090   3  1A   (T)  #931  M_B_DQ25         V VIA .
$98        9.605     5.143   3  1A   (T)  #985  M_B_DQS3         V VIA .
$99        9.555     5.143   3  1A   (T)  #984  M_B_DQS#3        V VIA .
$100       9.607     5.240   3  1A   (T)  #934  M_B_DQ31         V VIA .
$101       9.551     5.240   3  1A   (T)  #939  M_B_DQ26         V VIA .
$102       9.502     5.256   3  1A   (T)  #938  M_B_DQ29         V VIA .
$103       9.444     5.248   3  1A   (T)  #933  M_B_DQ24         V VIA .
$104       9.460     5.350   2  1A   (T)  #912  M_B_CKE0         V VIA .
$105       9.513     5.406   3  1A   (T)  #906  M_B_BG0          V VIA .
$106       9.565     5.400   3  1A   (T)  #902  M_B_ACT#         V VIA .
$107       9.620     5.400   3  1A   (T)  #913  M_B_CKE1         V VIA .
$108       9.610     5.501   1  1A   (T)  #903  M_B_ALERT#       V VIA .
